School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Saint Marys Middle School,Camden County,103023.73,63029.97,72758.8
Saint Marys Elementary School,Camden County,102018.08,58982.89,75433.17
Camden Middle School,Camden County,91863.04,60877.23,68049.59
Crooked River Elementary School,Camden County,96480.74,55846.94,71239.12
Matilda Harris Elementary School,Camden County,86583.03,56991.6,70550.97
Woodbine Elementary School,Camden County,88868.89,63370.34,69329.55
Kingsland Elementary School,Camden County,92129.14,55451.71,72672.56
David L Rainer Elementary School,Camden County,102018.08,57002.39,64252.81
Sugarmill Elementary,Camden County,80911.46,60804.29,66568.66
Camden County High School,Camden County,99999.39,64062.5,70058.78
Mary Lee Clark Elementary School,Camden County,87570.45,57337.49,70811.29
Metter High School,Candler County,75433.95,59731.94,60741.82
Metter Middle School,Candler County,72018.97,53310.02,59748.81
Metter Elementary School,Candler County,76838.32,51112.46,53984.28
Metter Career Academy,Candler County,89912.9,56355.25,60542.41
Sharp Creek Elementary School,Carroll County,75161.44,54240.72,56519.54
Bowdon Middle School,Carroll County,75345.78,56472.37,74554.13
Temple Middle School,Carroll County,72336.41,61323.32,60267.67
KidsPeace,Carroll County,84151.0,42213.5,40509.07
Providence Elementary School,Carroll County,66030.3,58098.71,61524.12
Mount Zion Elementary School,Carroll County,177081.16,114280.08,136801.47999999998
Central Middle School,Carroll County,70444.59,59753.25,70979.22
Temple High School,Carroll County,64632.08,56177.07,61382.74
Bay Springs Middle School,Carroll County,72679.83,58145.71,70521.53
Mt. Zion Middle School,Carroll County,69400.98,57947.05,62542.06
Mt. Zion High School,Carroll County,72336.41,56731.05,71504.63
Villa Rica Middle,Carroll County,72498.61,50962.71,62478.64
Roopville Elementary School,Carroll County,64358.33,61456.7,63690.39
Ithica Elementary,Carroll County,68174.1,60312.31,50388.46
Whitesburg Elementary School,Carroll County,68361.02,56866.28,64210.34
Glanton-Hindsman Elementary,Carroll County,69356.12,54730.07,58978.89
Villa Rica Elementary School,Carroll County,71183.47,57105.94,62690.57
Temple Elementary School,Carroll County,64015.46,54219.89,65873.59
Bowdon Elementary School,Carroll County,74356.22,56980.85,68608.25
Bowdon High School,Carroll County,75345.78,60243.15,63104.05
Central Elementary School,Carroll County,74002.93,61491.23,67916.93
Sand Hill Elementary School,Carroll County,161041.5,117270.65,134663.48
