School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Alice Coachman Elementary School,Dougherty County,93323.5,53373.11,70457.77
Monroe High School,Dougherty County,92262.83,50759.29,69002.07
Dougherty Comprehensive High School,Dougherty County,84406.14,54229.97,70345.38
Morningside Elementary School,Dougherty County,313959.11,183604.51,217039.26999999996
Turner Elementary School,Dougherty County,85659.0,54468.88,71583.93
Lake Park Elementary School,Dougherty County,174278.97,114176.88,129930.11000000002
Merry Acres Middle School,Dougherty County,87002.0,55448.79,65475.25
Sherwood Acres Elementary School,Dougherty County,95839.0,58113.65,55366.18
Westover High School,Dougherty County,92089.17,56836.72,73704.05
International Studies Elementary Charter School,Dougherty County,85486.0,55726.32,70464.67
Radium Springs Elementary School,Dougherty County,94562.5,53692.14,65662.45
West Town Elementary School,Dougherty County,93025.0,56483.63,64933.51
College and Career Performance Learning Center,Dougherty County,0,61206.0,0
College and Career Academy,Dougherty County,76214.0,58982.7,0
Exceptional Students Program,Dougherty County,96210.08,64338.89,64095.89
Oak Tree GNETS Program,Dougherty County,110852.0,58517.42,69756.75
South Ga. Regional Achievement Center,Dougherty County,93686.0,60973.41,67450.75
Chapel Hill High School,Douglas County,95745.83,64082.92,66229.34
Yeager Middle School,Douglas County,90304.67,62473.99,62150.38
North Douglas Elementary School,Douglas County,93901.65,58701.74,68478.99
Bill Arp Elementary School,Douglas County,85249.24,62158.87,71421.6
Factory Shoals Middle School,Douglas County,93689.0,64106.87,69033.86
Mason Creek Elementary School,Douglas County,85947.44,59700.86,70171.96
Mason Creek Middle School,Douglas County,83020.45,59822.41,69241.88
Lithia Springs Comprehensive High School,Douglas County,98306.99,63122.07,69241.0
Arbor Station Elementary School,Douglas County,89550.4,59190.12,69370.32
Fairplay Middle School,Douglas County,103741.0,65950.16,64418.05
Dorsett Shoals Elementary School,Douglas County,84102.08,60670.04,66438.42
Alexander High School,Douglas County,103278.77,66717.04,76067.39
Chestnut Log Middle School,Douglas County,94536.91,59607.21,66474.45
South Douglas Elementary School,Douglas County,92254.02,70029.9,75330.02
Bright Star Elementary School,Douglas County,87752.23,60066.77,66882.01
Holly Springs Elementary,Douglas County,84137.65,59612.61,66079.93
New Manchester Elementary School,Douglas County,88763.49,58793.15,70893.58
New Manchester High School,Douglas County,85319.81,62423.55,71257.03
Factory Shoals Elementary School,Douglas County,84047.02,55498.99,70624.23
Sweetwater Elementary School,Douglas County,80850.88,60367.26,69399.65
Mirror Lake Elementary School,Douglas County,84635.45,61269.27,71365.48
Burnett Elementary School,Douglas County,89096.68,60150.71,68040.42
Brighten Academy,Douglas County,102082.93,56937.47,60139.61
Youth Villages at Inner Harbour,Douglas County,91504.0,54365.36,59753.71
Winston Elementary School,Douglas County,85446.02,65277.53,66184.65
Beulah Elementary School,Douglas County,76553.99,60368.9,68148.98
Turner Middle School,Douglas County,93487.68,61081.28,72550.15
Lithia Springs Elementary School,Douglas County,88854.75,55230.97,59445.76
Douglas County High School,Douglas County,94102.03,64287.7,73215.52
Mount Carmel Elementary School,Douglas County,180268.02000000002,122354.66,135248.22999999998
Stewart Middle School,Douglas County,100495.67,60065.41,73585.81
Annette Winn Elementary School,Douglas County,89887.23,62107.34,69455.56
Performance Learning Center,Douglas County,207017.0,125310.37,145140.88
Douglas County College and Career Institute,Douglas County,95331.67,62733.18,65812.15
Newcomer Center,Douglas County,0,66467.0,0
FLEX Academy,Douglas County,115675.0,61089.55,65546.92
Cobb-Douglas GNETS Program,Douglas County,81654.33,63437.91,69368.5
Early County Elementary School,Early County,81334.12,55068.99,65020.37
Early County Middle School,Early County,76393.0,51073.81,61456.42
Early County High School,Early County,80262.71,54875.44,64307.47
Early County Alternative School,Early County,90980.27,54100.94,0
Echols County Elementary/Middle School,Echols County,76658.4,53461.38,65560.07
Echols County High School,Echols County,78803.38,59585.02,72620.17
Springfield Elementary School,Effingham County,88119.12,60683.79,68883.93
Marlow Elementary School,Effingham County,90313.95,62409.59,68542.54
Blandford Elementary School,Effingham County,99843.08,59751.66,69456.6
South Effingham Elementary School,Effingham County,82060.88,59170.23,68923.92
Guyton Elementary School,Effingham County,98163.65,59106.55,67735.05
South Effingham High School,Effingham County,91902.23,60785.29,70813.47
Ebenezer Middle School,Effingham County,91689.07,58696.71,72499.49
Effingham County Middle School,Effingham County,93273.84,60309.57,69220.42
Ebenezer Elementary School,Effingham County,83468.61,60928.99,65482.38
South Effingham Middle School,Effingham County,90354.84,62516.98,61886.69
Effingham County High School,Effingham County,97229.19,63806.98,82024.35
Rincon Elementary School,Effingham County,93428.72,58965.72,65146.51
Crossroads Academy,Effingham County,62506.19,60430.48,70308.08
Effingham College and Career Academy,Effingham County,108350.9,70705.37,77138.18
enCompass Academy,Effingham County,93683.78,65120.46,70846.82
Elbert County Middle School,Elbert County,90040.67,57386.19,74908.0
Paul J. Blackwell Learning Center,Elbert County,92893.0,58299.36,71740.0
Elbert County High School,Elbert County,97576.61,58065.7,65963.41
Elbert County Primary School,Elbert County,85904.33,56480.02,64729.93
Elbert County Elementary School,Elbert County,87539.59,56612.73,65011.88
Twin City Elementary School,Emanuel County,77965.6,55901.04,65249.33
Swainsboro High School,Emanuel County,83851.5,60042.59,62251.96
Swainsboro Middle School,Emanuel County,84221.45,54200.36,54629.59
Swainsboro Primary School,Emanuel County,80047.86,53938.59,60321.74
Swainsboro Elementary School,Emanuel County,80342.35,53461.85,58624.05
Emanuel County Institute,Emanuel County,85849.45,64750.31,68230.88
River Quest GNETS Program,Emanuel County,0,179298.2,0
CrossRoads Alternative,Emanuel County,242330.48,219070.42,63088.95
Claxton Elementary School,Evans County,83168.08,46918.46,52279.1
Second Chance,Evans County,83967.44,53878.0,0
Claxton High School,Evans County,75776.91,51371.32,61589.6
Claxton Middle School,Evans County,81785.99,53207.76,68419.11
Fannin County High School,Fannin County,80854.82,61625.38,67124.35
Fannin County Middle School,Fannin County,76139.41,59309.77,66492.84
East Fannin Elementary School,Fannin County,75540.11,58712.64,65478.44
West Fannin Elementary School,Fannin County,78670.31,62297.52,67450.14
Cleveland Elementary School,Fayette County,179088.0,121247.53,150462.76
Sara Harp Minter Elementary School,Fayette County,91557.0,65338.68,72438.8
Crabapple Lane Elementary School,Fayette County,97912.0,65289.01,79865.72
Whitewater High School,Fayette County,85719.89,67500.16,79707.4
Bennett's Mill Middle School,Fayette County,91536.0,64127.24,74622.7
Inman Elementary,Fayette County,92562.5,67309.35,78261.25
Booth Middle School,Fayette County,93328.67,66535.18,76953.6
Huddleston Elementary School,Fayette County,92619.5,66137.39,71775.25
North Fayette Elementary School,Fayette County,93722.5,66067.69,64584.67
McIntosh High School,Fayette County,89377.33,66528.84,72823.28
Braelinn Elementary School,Fayette County,94914.5,66744.61,70386.83
Sandy Creek High School,Fayette County,86969.2,65562.17,70377.64
Kedron Elementary School,Fayette County,86154.5,68859.35,71774.67
Starrs Mill High School,Fayette County,86899.68,69953.23,82537.21
Peeples Elementary School,Fayette County,86919.0,68897.14,72371.5
Robert J. Burch Elementary School,Fayette County,94914.5,61957.77,66002.38
Spring Hill Elementary School,Fayette County,97255.5,63964.77,64079.22
Rising Starr Middle School,Fayette County,95532.0,71396.11,76390.73
Whitewater Middle School,Fayette County,95532.0,66868.55,75221.25
Fayette County High School,Fayette County,84179.0,65746.21,67153.17
Fayetteville Elementary School,Fayette County,89851.5,63034.19,77843.0
Flat Rock Middle School,Fayette County,87620.33,68401.94,76635.87
Peachtree City Elementary School,Fayette County,94914.5,68454.73,74905.33
Fayette County Alternative School,Fayette County,101408.0,71733.34,82055.91
Johnson Elementary,Floyd County,89416.8,61882.12,66511.95
Coosa Middle School,Floyd County,91976.65,58287.26,67457.0
Pepperell High School,Floyd County,89922.0,59478.68,64723.16
Model High,Floyd County,93322.67,64037.98,70050.88
Model Elementary School,Floyd County,90497.8,62879.16,69051.98
Armuchee Elementary School,Floyd County,89416.8,60479.14,63149.83
Pepperell Elementary,Floyd County,87123.65,59535.83,57751.13
Model Middle School,Floyd County,91914.3,63832.28,64533.1
Pepperell Middle School,Floyd County,100921.6,55406.49,62778.09
Armuchee Middle School,Floyd County,96020.3,60992.63,54515.93
Armuchee High School,Floyd County,97978.95,58400.76,65286.29
Alto Park Elementary School,Floyd County,95192.1,56498.38,62017.29
Garden Lakes Elementary School,Floyd County,92214.8,57409.64,68472.66
Cave Spring Elementary School,Floyd County,98591.7,57238.79,57585.67
Glenwood Primary School,Floyd County,87346.8,56884.53,68093.83
Pepperell Primary,Floyd County,88366.8,60636.4,58107.0
Coosa High School,Floyd County,95459.4,60095.21,65049.44
Floyd County Schools College and Career Academy,Floyd County,97656.69,63528.51,73704.8
Transitional Academy,Floyd County,108600.8,69368.3,0
Settles Bridge Elementary School,Forsyth County,97508.0,63107.95,62391.38
Matt Elementary School,Forsyth County,97867.0,64990.7,66831.53
Cumming Elementary School,Forsyth County,85332.6,61297.28,69903.22
Sharon Elementary School,Forsyth County,195500.97,134186.38,135018.64
Riverwatch Middle School,Forsyth County,95366.25,62229.5,60387.63
Shiloh Point Elementary,Forsyth County,92222.5,62406.85,74223.6
West Forsyth High School,Forsyth County,107297.17,63814.04,61952.1
Johns Creek Elementary,Forsyth County,101003.67,58690.13,62207.67
Mashburn Elementary School,Forsyth County,111006.5,62410.0,66009.23
Coal Mountain Elementary School,Forsyth County,112078.5,64853.32,75725.92
South Forsyth High School,Forsyth County,101227.8,65529.45,68403.67
Chattahoochee Elementary School,Forsyth County,205371.21000000002,128253.56,132118.33000000002
North Forsyth High School,Forsyth County,99474.78,65354.17,62168.18
Daves Creek Elementary School,Forsyth County,94311.75,62212.26,67351.94
Vickery Creek Elementary School,Forsyth County,97428.67,59698.44,71798.29
Vickery Creek Middle School,Forsyth County,90797.0,66553.8,73608.6
Otwell Middle School,Forsyth County,95182.0,60795.92,68489.56
Sawnee Elementary School,Forsyth County,98929.75,61224.59,63471.69
Chestatee Elementary,Forsyth County,99776.33,62011.92,59950.87
Little Mill Middle School,Forsyth County,95739.26,63478.08,67193.31
Future Elementary School #5,Forsyth County,92969.5,59738.55,66120.75
Brookwood Elementary,Forsyth County,101818.67,62212.56,66396.43
George W. Whitlow Elementary,Forsyth County,95490.75,60087.79,65208.43
Lambert High School,Forsyth County,99306.5,63461.85,62526.15
Haw Creek Elementary,Forsyth County,106115.0,61757.26,60651.57
Liberty Middle School,Forsyth County,181043.01,117903.45,139229.39
Silver City Elementary School,Forsyth County,96883.67,62629.42,66504.06
Kelly Mill Elementary,Forsyth County,100432.67,62757.54,69834.71
Piney Grove Middle School,Forsyth County,87492.8,64302.75,66766.0
North Forsyth Middle School,Forsyth County,107862.67,64932.33,72218.03
South Forsyth Middle School,Forsyth County,86228.8,63037.09,67048.9
Brandywine Elementary School,Forsyth County,89146.75,63169.93,75017.86
DeSana Middle School,Forsyth County,100639.25,60016.62,63593.75
Alliance Academy for Innovation,Forsyth County,97137.32,63540.96,67945.86
Denmark High School,Forsyth County,100411.17,60016.8,64126.1
Big Creek Elementary School,Forsyth County,100031.0,59773.33,62331.0
Midway Elementary School,Forsyth County,196664.28,116321.71,140541.33000000002
Forsyth Central High School,Forsyth County,93041.44,64037.83,68842.57
Gateway Academy,Forsyth County,158054.49,66127.27,73232.0
Forsyth Academy,Forsyth County,91183.26,72771.1,74628.33
Franklin County Middle School,Franklin County,85478.0,62402.19,65649.18
Carnesville Elementary Intermediate School,Franklin County,90281.0,61837.57,63203.16
Royston Elementary School,Franklin County,84122.0,59832.62,64024.14
Franklin County High School,Franklin County,94026.31,60974.3,63004.73
Lavonia Elementary School,Franklin County,90765.5,58953.13,57079.76
Summit Hill Elementary,Fulton County,105066.81,62603.33,65156.44
Abbotts Hill Elementary School,Fulton County,100026.3,62198.61,82118.47
Creek View Elementary School,Fulton County,96034.86,63443.81,62002.87
Hembree Springs Elementary School,Fulton County,83694.02,62269.51,64809.04
Spalding Drive Elementary,Fulton County,101407.92,59090.45,81270.72
Hopewell Middle School,Fulton County,91649.63,62389.96,64904.7
Milton High School,Fulton County,104203.26,67404.36,71210.11
Renaissance Middle School,Fulton County,96244.34,62910.99,74730.22
Renaissance ES,Fulton County,99439.73,67464.54,78177.29
Feldwood Elementary School,Fulton County,99202.79,65566.5,74579.25
Main Street Charter Academy,Fulton County,93707.8,57864.73,61296.85
Hapeville Charter Career Academy,Fulton County,82831.86,52345.81,61385.6
Cambridge High School,Fulton County,96445.56,65184.88,73155.57
Banneker High School,Fulton County,107886.92,65618.56,73850.62
Dolvin Elementary School,Fulton County,87427.24,63736.68,66906.98
Crabapple Middle School,Fulton County,109467.83,63589.23,77500.37
Camp Creek Middle School,Fulton County,100872.74,67351.28,72613.67
Barnwell Elementary School,Fulton County,111350.53,62905.33,64771.72
Lake Windward Elementary School,Fulton County,92269.22,61007.08,80508.59
Roswell High School,Fulton County,102836.4,65700.98,72935.98
Hapeville Elementary School,Fulton County,98571.25,64940.76,73645.36
Crabapple Crossing Elementary School,Fulton County,97828.71,64508.82,76375.91
New Prospect Elementary School,Fulton County,98159.01,60232.87,73133.27
Northwood Elementary School,Fulton County,94927.17,60647.05,65414.95
Centennial High School,Fulton County,91785.74,63665.35,71590.72
Stonewall Tell Elementary School,Fulton County,110072.75,62484.02,76162.43
Hillside Elementary School,Fulton County,101002.24,60967.91,66097.18
Northview High School,Fulton County,102603.97,64561.69,70498.75
KIPP South Fulton Academy School,Fulton County,77215.0,56765.97,53599.33
Alpharetta High School,Fulton County,106082.75,63412.59,72205.98
Oakley Elementary School,Fulton County,93353.52,63728.9,78036.44
Dunwoody Springs Elementary School,Fulton County,110311.61,59179.49,68535.67
Chattahoochee Hills Charter School,Fulton County,71175.2,42558.71,44984.57
S. L. Lewis Elementary School,Fulton County,97701.34,60379.84,73586.47
Nolan Elementary School,Fulton County,106474.48,61716.28,79710.66
Gullatt Elementary School,Fulton County,93875.11,60619.54,70263.99
Holcomb Bridge Middle School,Fulton County,98326.14,62272.66,72519.81
Ridgeview Charter School,Fulton County,105664.51,63504.33,82277.95
Woodland Middle School,Fulton County,185058.87,117226.17,150887.53999999998
Creekside High School,Fulton County,97929.4,67606.08,76617.45
Palmetto Elementary School,Fulton County,109086.45,67583.75,75013.53
Findley Oaks Elementary School,Fulton County,103145.24,65313.78,47975.17
State Bridge Crossing Elementary School,Fulton County,100130.8,64415.14,68076.56
Sweet Apple Elementary School,Fulton County,93039.89,63835.04,63148.15
Manning Oaks Elementary School,Fulton County,89431.65,57949.34,61358.65
Elkins Pointe Middle School,Fulton County,98417.44,61010.2,68876.68
Cogburn Woods Elementary School,Fulton County,98626.17,62263.42,69743.49
Autrey Mill Middle School,Fulton County,112372.51,63714.66,73136.48
Georgia Baptist Children's Home and Family Ministries,Fulton County,50000.0,44042.5,0
Mountain Park Elementary School,Fulton County,190112.55,128718.13,125142.34
McClarin High School,Fulton County,99840.79,64408.59,90357.54
Haynes Bridge Middle School,Fulton County,107322.97,64259.54,67185.92
Independence High School,Fulton County,103589.31,71923.51,69248.67
Randolph Elementary School,Fulton County,100538.69,63035.31,82328.96
Chattahoochee High School,Fulton County,99211.03,65145.72,74034.17
River Eves Elementary School,Fulton County,88185.0,58672.89,68159.58
Shakerag Elementary School,Fulton County,88395.69,60706.98,60011.29
River Trail Middle School,Fulton County,103817.25,66000.94,70650.46
Wilson Creek Elementary School,Fulton County,106634.25,62853.31,65147.47
Amana Academy School,Fulton County,82244.0,46285.41,47341.74
Medlock Bridge Elementary School,Fulton County,105832.15,62098.75,66123.95
Webb Bridge Middle School,Fulton County,103198.16,63983.62,72497.26
Hamilton E. Holmes Elementary,Fulton County,105205.13,61241.55,82987.34
Liberty Point Elementary School,Fulton County,95477.93,63965.58,77506.8
Sandtown Middle School,Fulton County,99410.54,65877.71,72224.91
Taylor Road Middle School,Fulton County,103790.26,66007.72,79652.59
Northwestern Middle School,Fulton County,91727.57,68043.29,80732.1
Sandy Springs Middle School,Fulton County,107285.95,59473.37,75196.58
Hapeville Charter Middle School,Fulton County,102047.57,53596.94,58617.33
Tri-Cities High School,Fulton County,102837.06,65955.57,71605.84
Ocee Elementary School,Fulton County,83350.63,60453.97,65779.51
Woodland Elementary School,Fulton County,198452.66999999998,116006.04000000001,128321.67000000001
Paul D. West Middle School,Fulton County,93903.81,66787.99,70804.73
Lake Forest Elementary,Fulton County,80992.79,59047.55,70462.86
Johns Creek High School,Fulton County,99819.99,68863.49,68995.76
Cliftondale Elementary School,Fulton County,99887.07,61923.77,70563.77
Alpharetta Elementary School,Fulton County,93227.45,64590.12,67907.07
Roswell North Elementary School,Fulton County,101493.17,58219.74,70199.89
Langston Hughes High School,Fulton County,93356.01,65455.37,77326.3
Birmingham Falls Elementary School,Fulton County,101384.14,63958.69,61349.83
Ison Springs Elementary School,Fulton County,96860.85,58553.86,68227.61
RISE Grammar School,Fulton County,76687.5,48020.41,45300.0
RISE Prep School,Fulton County,87666.5,53309.36,57656.5
College Park Elementary,Fulton County,115949.24,60113.64,70737.23
Vickery Mill Elementary,Fulton County,101063.14,61767.82,67137.7
Wolf Creek Elementary,Fulton County,107847.38,62107.99,75162.88
Fulton Academy of Science and Technology,Fulton County,86500.0,44608.85,55000.0
Skyview High School,Fulton County,115500.0,44538.46,41333.33
Wellspring Living,Fulton County,61000.0,54000.0,0
Teaching Museum North Facility,Fulton County,80004.0,0,0
Bethune Elementary School,Fulton County,99874.63,63212.23,68329.66
Campbell Elementary School,Fulton County,104705.81,59363.16,76532.07
Brookview Elementary School,Fulton County,100060.63,62554.71,76587.37
Heards Ferry Elementary School,Fulton County,110722.99,59642.21,57104.2
Lee Elementary School,Fulton County,104582.55,64684.21,78041.66
Parklane Elementary School,Fulton County,105329.24,64730.06,68942.8
Riverwood International Charter School,Fulton County,113430.16,62910.29,75016.66
High Point Elementary School,Fulton County,103598.35,58469.48,67929.02
Mimosa Elementary School,Fulton County,100200.9,62559.55,64404.02
North Springs High School,Fulton County,105264.49,64423.9,70812.18
E. C. West Elementary School,Fulton County,98511.62,64240.23,79071.02
Conley Hills Elementary School,Fulton County,88220.61,64570.01,68196.55
Asa Hilliard Elementary School,Fulton County,104146.45,62599.95,75154.44
Westlake High School,Fulton County,99545.55,64931.94,75173.85
FCS Peak Academy - Hapeville Campus,Fulton County,67485.0,0,50997.75
FCS Peak Academy - Union City Campus Campus,Fulton County,67485.0,40000.0,51004.5
FCS Peak Academy - Roswell Campus,Fulton County,67485.0,42666.67,60000.0
Fulton Virtual,Fulton County,93221.75,70113.38,0
Fulton Schools College and Career Academy,Fulton County,0,63711.49,88470.17
North Metro GNETS Program,Fulton County,0,121466.70999999999,66315.94
South Metro Psychoeducational Program,Fulton County,0,74568.07,29383.0
Mountain View Elementary,Gilmer County,93638.93,60367.17,69667.67
Clear Creek Middle School,Gilmer County,91700.36,62905.66,63379.86
Gilmer High School,Gilmer County,85103.06,63149.58,69140.25
Ellijay Elementary School,Gilmer County,94282.9,61269.99,65035.24
Mountain Innovation Program,Gilmer County,107862.19,62420.04,0
Glascock County Middle/High School,Glascock County,70420.13,54453.45,62137.6
Glascock County Elementary School,Glascock County,72699.23,56135.59,62423.86
Sterling Elementary School,Glynn County,90642.22,59244.62,67735.27
"Morningstar Treatment Services, Inc. Youth Estate",Glynn County,95184.42,55502.2,62841.07
Glynn Middle,Glynn County,89391.33,59263.48,60672.92
Jane Macon Middle,Glynn County,87033.04,56158.98,66357.21
Risley Middle School,Glynn County,87735.62,61364.71,55091.18
Glyndale Elementary School,Glynn County,85867.74,58267.15,70102.31
Golden Isles Elementary School,Glynn County,86611.62,59195.4,57326.95
Oglethorpe Point Elementary School,Glynn County,88883.4,61670.97,75402.07
Satilla Marsh Elementary School,Glynn County,93621.19,56430.88,65315.13
Needwood Middle School,Glynn County,87505.55,58485.41,69657.02
Greer Elementary School,Glynn County,87674.95,59949.52,68322.62
Altama Elementary School,Glynn County,89966.72,58084.73,64050.48
St. Simons Elementary School,Glynn County,93496.69,63656.24,65601.18
Brunswick High School,Glynn County,91823.35,63141.84,75968.31
Burroughs-Molette Elementary School,Glynn County,88754.03,55736.44,63499.47
Glynn Academy,Glynn County,88485.74,65271.1,73579.64
Goodyear Elementary School,Glynn County,81021.65,54122.25,60157.09
Leaps and Bounds,Glynn County,0,54413.35,58409.85
Golden Isles Career Academy,Glynn County,95898.49,57262.8,0
Jackson Learning Center,Glynn County,62123.06,63418.99,62891.28
Faces-PreK,Glynn County,100857.6,53428.35,54779.47
Coastal Academy,Glynn County,0,0,62891.28
Sonoraville High School,Gordon County,89042.38,61494.45,74863.0
Sonoraville Elementary,Gordon County,87375.0,55739.76,66184.75
Red Bud Middle School,Gordon County,90706.67,59825.74,67036.88
Tolbert Elementary School,Gordon County,91723.5,60141.33,68352.5
Red Bud Elementary School,Gordon County,88414.5,61362.39,67136.0
Swain Elementary School,Gordon County,94811.0,54146.06,62636.75
Gordon Central High School,Gordon County,84939.4,62013.23,74285.89
Ashworth Middle School,Gordon County,82131.33,59394.57,68821.29
Belwood Elementary School,Gordon County,89293.5,56234.53,62675.75
Fairmount Elementary School,Gordon County,88414.5,55293.86,69428.0
Gordon County College and Career Academy Program,Gordon County,105856.0,64134.51,0
Washington Middle School,Grady County,89109.92,54231.39,62811.17
Cairo High School,Grady County,87097.95,54637.01,47037.07
Whigham Elementary School,Grady County,82350.88,56777.58,65976.19
Southside Elementary School,Grady County,88175.55,54473.25,68905.6
Shiver Elementary School,Grady County,85380.49,57471.54,67218.06
Anita White Carson Middle School,Greene County,103496.78,61322.72,65397.24
LAKE OCONEE CHARTER,Greene County,139248.17,52709.19,70225.38
Greene County Primary School,Greene County,98343.03,59550.81,68429.44
Greene County High School,Greene County,95830.07,62109.98,78841.28
Lake Oconee Charter High School,Greene County,116428.57,52531.75,86083.48
Greene County Pre-K,Greene County,85273.58,59263.0,66665.0
Greene County Adapt Alternative School,Greene County,93842.47,0,0
Rock Springs Elementary School,Gwinnett County,97554.63,61647.13,69723.0
Grayson High School,Gwinnett County,102028.47,63938.56,74741.57
Norcross High School,Gwinnett County,97511.78,62761.89,66500.62
Mill Creek High School,Gwinnett County,101067.34,66854.9,69403.24
Trickum Middle School,Gwinnett County,96491.08,63111.22,57232.25
Benefield Elementary School,Gwinnett County,85401.44,62283.84,77216.29
Centerville Elementary School,Gwinnett County,183235.12,130630.63,151338.45
Parkview High School,Gwinnett County,100759.07,66700.04,74544.5
Head Elementary School,Gwinnett County,96307.37,65115.49,78685.5
Brookwood High School,Gwinnett County,96688.04,65313.61,77102.4
Berkeley Lake Elementary School,Gwinnett County,92391.48,60013.05,66438.33
Shiloh High School,Gwinnett County,91157.29,60591.09,71211.23
Pinckneyville Middle School,Gwinnett County,93734.54,59029.56,69059.5
Meadowcreek High School,Gwinnett County,98589.97,63073.52,64417.67
Richards Middle School,Gwinnett County,180207.87,117056.20999999999,146844.9
Phoenix High School,Gwinnett County,172813.84,140856.82,136337.12
Dacula Elementary School,Gwinnett County,92041.18,63786.69,69015.0
Walnut Grove Elementary School,Gwinnett County,201742.53,131358.33000000002,144426.05
Craig Elementary School,Gwinnett County,99927.15,64654.24,59914.11
Collins Hill High School,Gwinnett County,102830.74,64210.77,69435.0
Harbins Elementary School,Gwinnett County,92071.97,64382.39,72633.33
Crews Middle School,Gwinnett County,90450.23,65752.41,63585.75
Meadowcreek Elementary School,Gwinnett County,97074.94,58410.42,57536.33
Freeman's Mill Elementary School,Gwinnett County,99296.59,67451.4,69603.0
Osborne Middle School,Gwinnett County,96185.73,68109.29,75671.25
Corley Elementary School,Gwinnett County,92449.47,59634.79,67818.67
Mulberry Elementary School,Gwinnett County,87975.95,67441.77,72083.6
Lanier Middle School,Gwinnett County,92042.42,64642.34,72657.09
Lovin Elementary School,Gwinnett County,96039.32,64170.54,75023.6
Knight Elementary School,Gwinnett County,94430.5,60752.78,78311.38
Sweetwater Middle School,Gwinnett County,89169.43,63171.99,72855.6
Five Forks Middle School,Gwinnett County,97223.72,63583.96,73560.46
Beaver Ridge Elementary School,Gwinnett County,90822.82,56290.43,58996.0
Annistown Elementary School,Gwinnett County,92829.71,64529.53,69184.0
Shiloh Middle School,Gwinnett County,88269.07,61252.54,70359.6
Hopkins Elementary School,Gwinnett County,89718.0,60778.01,65672.52
Norton Elementary School,Gwinnett County,93991.29,62418.09,77024.5
Minor Elementary School,Gwinnett County,89193.8,60808.02,60718.62
McKendree Elementary School,Gwinnett County,93821.52,61765.32,59158.0
Shiloh Elementary School,Gwinnett County,93199.82,64388.58,72495.22
Nesbit Elementary School,Gwinnett County,91263.83,58650.87,63891.61
Fort Daniel Elementary School,Gwinnett County,89753.4,67393.63,82291.5
Sugar Hill Elementary School,Gwinnett County,97936.85,64709.27,77224.0
Hull Middle School,Gwinnett County,98652.0,67620.91,79233.0
Mason Elementary School,Gwinnett County,92351.94,62340.06,75191.67
Stripling Elementary School,Gwinnett County,91771.51,60709.64,62254.33
Berkmar Middle School,Gwinnett County,94361.32,59892.96,67695.82
Ivy Creek Elementary School,Gwinnett County,98087.42,68325.53,71953.43
Rosebud Elementary School,Gwinnett County,97827.79,62488.81,59968.0
Gwin Oaks Elementary School,Gwinnett County,110172.13,65060.69,76869.42
Dacula Middle School,Gwinnett County,91777.59,64122.89,72120.5
Arcado Elementary School,Gwinnett County,94011.06,63922.55,92423.0
Gwinnett InterVention Education (GIVE) Center East,Gwinnett County,95681.1,66023.69,70363.4
Cedar Hill Elementary School,Gwinnett County,102711.41,64658.83,69520.0
Pharr Elementary School,Gwinnett County,94416.07,62599.2,68160.0
Simonton Elementary School,Gwinnett County,89473.25,62909.49,67042.33
Magill Elementary School,Gwinnett County,93171.69,60061.8,60956.5
Partee Elementary School,Gwinnett County,95859.23,63394.34,65110.5
Jones Middle School,Gwinnett County,97025.3,67059.24,75613.33
Puckett's Mill Elementary School,Gwinnett County,101773.94,69855.62,62644.0
Simpson Elementary School,Gwinnett County,88461.61,59957.3,72134.67
Kanoheda Elementary School,Gwinnett County,94858.46,64500.1,82116.67
McConnell Middle School,Gwinnett County,95575.97,64276.38,66140.6
Taylor Elementary School,Gwinnett County,92504.13,63959.52,64694.15
Sycamore Elementary School,Gwinnett County,87971.96,58810.67,64859.67
Trip Elementary School,Gwinnett County,93775.04,61451.89,70439.0
Cooper Elementary School,Gwinnett County,99101.74,66728.52,63987.0
Patrick Elementary School,Gwinnett County,94329.62,65327.1,65088.0
Parsons Elementary School,Gwinnett County,91038.93,65137.87,63668.0
Oakland Meadow School,Gwinnett County,97391.0,67991.07,77290.75
Peachtree Ridge High School,Gwinnett County,98588.69,63093.35,62394.11
Duluth Middle School,Gwinnett County,93862.3,61083.98,82906.0
Alcova Elementary School,Gwinnett County,96564.54,59685.8,71884.5
Bay Creek Middle School,Gwinnett County,94940.82,66444.06,68745.14
Grace Snell Middle School,Gwinnett County,99865.88,63308.96,74529.25
Ferguson Elementary School,Gwinnett County,94596.5,61469.71,66237.0
Roberts Elementary School,Gwinnett County,100329.43,65617.16,77909.2
Jenkins Elementary School,Gwinnett County,95292.0,60507.35,65253.0
Anderson-Livsey Elementary School,Gwinnett County,95862.26,61158.37,69789.44
Burnette Elementary School,Gwinnett County,93977.51,58951.39,72768.0
Lanier High School,Gwinnett County,97486.51,63007.5,74821.83
"Gwinnett School of Mathematics, Science and Technology",Gwinnett County,106576.0,67540.12,68492.67
New Life Academy of Excellence,Gwinnett County,0,54175.45,0
Berkmar High School,Gwinnett County,96979.02,64010.73,72637.99
Dyer Elementary School,Gwinnett County,103116.45,65576.31,72706.8
Lilburn Middle School,Gwinnett County,96037.16,61058.76,66902.8
Alford Elementary,Gwinnett County,89213.88,58090.18,67311.33
