School Year,System ID,System Name,School ID,School Name,Grade Configuration,Grade Cluster,Number of Students Enrolled,Number of Schools,Title I Status,Title I Schools,Asian/Pacific Islander,American Indian/Alaskan,Black,Hispanic,Multi-Racial,White,Economically Disadvantaged,English Learners,Students with Disability
2021,611,Bibb County,0109,Bruce Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,450,NA,Y,NA,0.0%,0.2%,91.3%,3.3%,1.6%,3.6%,100.0%,0.7%,4.7%
2021,611,Bibb County,0186,Central High School,"09, 10, 11, 12",ALL,996,NA,Y,NA,0.5%,0.2%,87.2%,3.1%,1.9%,7.0%,100.0%,0.4%,9.1%
2021,611,Bibb County,0198,Westside High School,"09, 10, 11, 12",ALL,1092,NA,Y,NA,1.1%,0.0%,85.7%,5.4%,2.2%,5.6%,100.0%,2.6%,11.4%
2021,611,Bibb County,0203,Vineville Academy,"PK, KK, 01, 02, 03, 04, 05",ALL,508,NA,Y,NA,1.0%,0.0%,77.6%,4.3%,2.8%,14.4%,100.0%,1.4%,4.1%
2021,611,Bibb County,0204,Rutland High School,"09, 10, 11, 12",ALL,968,NA,Y,NA,1.9%,0.2%,47.9%,13.5%,2.9%,33.6%,100.0%,5.3%,11.9%
2021,611,Bibb County,0205,Howard Middle School,"06, 07, 08",ALL,1207,NA,Y,NA,3.0%,0.2%,71.3%,5.4%,5.2%,14.8%,100.0%,4.7%,16.5%
2021,611,Bibb County,0286,Northeast High School,"09, 10, 11, 12",ALL,772,NA,Y,NA,0.0%,0.0%,93.3%,1.2%,2.1%,3.5%,100.0%,0.3%,11.4%
2021,611,Bibb County,0298,Miller Magnet Middle School,"06, 07, 08",ALL,604,NA,Y,NA,1.2%,0.0%,86.8%,3.0%,2.5%,6.6%,100.0%,0.7%,10.6%
2021,611,Bibb County,0305,Rutland Middle School,"06, 07, 08",ALL,875,NA,Y,NA,1.5%,0.0%,53.6%,12.2%,3.2%,29.5%,100.0%,5.9%,12.3%
2021,611,Bibb County,0307,Price Academy,"03, 04, 05, 06, 07, 08, 09, 10, 11",ALL,47,NA,Y,NA,0.0%,0.0%,29.8%,4.3%,8.5%,57.4%,0.0%,0.0%,27.7%
2021,611,Bibb County,0383,Williams Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,342,NA,Y,NA,0.3%,0.0%,91.2%,0.6%,3.5%,4.4%,100.0%,0.3%,7.9%
2021,611,Bibb County,0386,Southwest High School,"09, 10, 11, 12",ALL,841,NA,Y,NA,0.2%,0.1%,92.7%,2.6%,1.5%,2.7%,100.0%,0.7%,15.8%
2021,611,Bibb County,0405,Rosa Taylor Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,603,NA,Y,NA,1.5%,0.3%,72.0%,6.6%,4.8%,14.8%,100.0%,6.5%,18.4%
2021,611,Bibb County,0505,Weaver Middle School,"06, 07, 08",ALL,1057,NA,Y,NA,0.6%,0.1%,82.9%,6.1%,3.1%,7.2%,100.0%,5.0%,15.2%
2021,611,Bibb County,0605,Heritage Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,624,NA,Y,NA,2.6%,0.3%,67.6%,4.2%,4.6%,20.7%,100.0%,2.6%,13.5%
2021,611,Bibb County,0705,Union Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,524,NA,Y,NA,0.0%,0.2%,93.5%,2.7%,1.3%,2.3%,100.0%,0.8%,11.3%
2021,611,Bibb County,1050,Alexander II Magnet School,"PK, KK, 01, 02, 03, 04, 05",ALL,459,NA,Y,NA,1.1%,0.0%,78.2%,3.1%,5.2%,12.4%,100.0%,0.2%,6.3%
