School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Chase Street Elementary School,58.0,20.7,21.3
Hilsman Middle School,52.0,19.5,28.5
Clarke Central High School,50.1,18.6,31.4
Clay County Middle School,48.7,27.6,23.7
Clay County Elementary,30.3,36.7,33.0
M. D. Roberts Middle School,81.0,11.6,7.3
Callaway Elementary School,44.9,42.1,13.1
Mundy's Mill High School,46.3,17.9,35.7
Thurgood Marshall Elementary School,51.8,27.3,20.9
Jonesboro Middle School,43.9,22.0,34.1
Sequoyah Middle School,55.4,21.3,23.3
Mount Zion Primary,49.1,32.1,18.8
Elite Scholars Academy School,93.3,6.1,0.6
Charles R. Drew High School,34.4,21.9,43.7
Eddie White Middle School,74.1,15.8,10.1
Morrow Middle School,58.7,16.3,25.0
Kilpatrick Elementary School,41.2,28.3,30.5
Mundys Mill Middle School,50.6,23.1,26.3
Brown Elementary School,55.5,25.2,19.4
Adamson Middle School,78.6,15.2,6.2
Pointe South Elementary School,43.6,34.5,21.9
Lovejoy High School,50.8,20.9,28.3
Lovejoy Middle School,57.0,21.4,21.6
River's Edge Elementary School,79.1,15.2,5.6
Kendrick Middle School,46.1,18.8,35.1
Hawthorne Elementary School,59.4,24.9,15.7
Roberta T. Smith Elementary School,70.8,19.2,10.0
Harper Elementary School,31.3,32.5,36.3
"Martin Luther King, Jr. Elementary School",28.1,36.3,35.6
Kemp Primary,46.4,29.9,23.7
Rex Mill Middle School,95.6,3.5,0.9
Martha Ellen Stilwell School for the Performing Arts,84.0,13.9,2.0
Oliver Elementary School,44.9,32.4,22.8
Pointe South Middle School,52.5,18.1,29.4
Mount Zion High School,37.5,22.4,40.1
Lake Ridge Elementary School,46.9,28.8,24.4
James Jackson Elementary School,60.3,25.1,14.6
Kemp Elem School,48.1,31.0,20.9
Unidos Dual Language School,64.3,22.1,13.6
Riverdale High School,43.0,20.9,36.1
Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,18.3,13.2,68.5
Kay R Pace Elementary School of the Arts,82.1,14.2,3.7
Anderson Elementary School,51.9,28.8,19.3
East Clayton Elementary School,64.3,25.2,10.6
Forest Park High School,46.2,17.3,36.5
Jonesboro High School,50.6,19.6,29.8
Lee Street Elementary School,39.9,24.4,35.8
Northcutt Elementary School,37.7,29.0,33.3
Tara Elementary School,39.2,27.5,33.3
Arnold Elementary School,62.5,25.4,12.2
North Clayton High School,35.3,18.9,45.8
Forest Park Middle School,38.0,18.5,43.5
Morrow Elementary School,50.4,28.4,21.2
Riverdale Elementary School,40.9,33.1,26.0
West Clayton Elementary School,33.9,28.7,37.4
Fountain Elementary School,43.3,33.2,23.5
Babb Middle School,51.2,18.1,30.7
North Clayton Middle School,52.9,22.7,24.4
Haynie Elementary School,52.9,23.7,23.4
Riverdale Middle School,51.3,20.5,28.2
Church Street Elementary School,65.1,20.3,14.6
Lake City Elementary School,55.9,27.1,17.0
Morrow High School,55.8,21.8,22.4
Suder Elementary School,46.6,24.7,28.7
Edmonds Elementary School,42.2,25.0,32.8
Huie Elementary School,56.9,22.4,20.6
William M. McGarrah Elementary School,59.9,25.9,14.2
Swint Elementary School,55.1,26.6,18.3
Clinch County Elementary School,50.6,41.0,8.5
Clinch County Middle School,36.3,43.2,20.5
Clinch County High School,47.3,37.8,14.8
Kennesaw Mountain High School,79.9,12.8,7.3
Kell High School,65.4,18.2,16.4
Bullard Elementary School,79.9,17.4,2.7
McCall Primary School,61.0,27.6,11.3
Pickett's Mill Elementary,76.1,19.7,4.2
East Side Elementary School,90.9,8.0,1.1
Clarkdale Elementary School,64.0,26.1,9.8
Mableton Elementary School,52.1,30.5,17.4
Birney Elementary School,48.2,33.2,18.6
Walton High School,85.0,12.0,3.0
Mabry Middle School,84.5,12.4,3.1
Still Elementary School,78.8,18.1,3.1
Tritt Elementary School,86.4,12.3,1.3
McCleskey Middle School,69.2,20.7,10.1
Garrison Mill Elementary School,88.0,11.1,0.9
Keheley Elementary School,82.1,15.8,2.1
Pope High School,77.1,16.6,6.3
Baker Elementary School,74.0,19.7,6.4
Dowell Elementary School,62.7,28.2,9.1
Varner Elementary School,77.0,18.6,4.5
Harrison High School,87.2,9.6,3.2
Hayes Elementary School,63.2,26.1,10.8
Vaughan Elementary School,84.2,13.6,2.2
Chalker Elementary School,69.5,23.5,7.0
Nickajack Elementary School,72.1,20.6,7.3
Lindley Middle School,35.3,22.6,42.1
Kemp Elementary School,81.2,17.0,1.8
Pitner Elementary School,69.7,24.8,5.5
Austell Elementary School,47.6,32.4,20.0
Allatoona High School,76.4,15.9,7.6
Smyrna Elementary School,65.1,23.0,11.9
Kincaid Elementary School,78.5,18.7,2.8
Dodgen Middle School,83.5,13.8,2.8
Mount Bethel Elementary School,88.5,10.3,1.2
Pine Mountain Middle School,74.6,17.7,7.7
Dickerson Middle School,87.4,10.3,2.3
Lewis Elementary School,86.5,9.9,3.5
Mountain View Elementary School,54.0,31.8,14.2
Addison Elementary School,78.3,18.8,2.9
Campbell Middle School,62.0,20.4,17.7
Shallowford Falls Elementary School,86.6,12.6,0.8
Ford Elementary School,87.3,11.7,1.0
Smitha Middle School,49.0,26.9,24.1
Frey Elementary School,80.7,15.6,3.7
Cheatham Hill Elementary School,76.7,19.0,4.3
Durham Middle School,79.0,17.0,3.9
Acworth Intermediate School,63.3,27.8,8.8
Lindley 6th Grade Academy,47.9,24.6,27.5
Sprayberry High School,67.9,17.9,14.2
Murdock Elementary School,86.1,13.2,0.7
Rocky Mount Elementary School,86.9,11.2,2.0
Lassiter High School,81.5,14.1,4.4
Davis Elementary School,24.3,31.6,44.1
Simpson Middle School,76.2,17.3,6.5
Nicholson Elementary School,68.8,25.7,5.6
Hightower Trail Middle School,88.5,10.0,1.4
Green Acres Elementary School,45.5,32.9,21.7
Sanders Elementary School,54.0,30.7,15.3
Blackwell Elementary School,66.4,25.2,8.4
Hendricks Elementary School,56.5,29.8,13.7
Kennesaw Elementary School,66.9,25.6,7.6
Barber Middle School,65.5,22.5,12.1
Tapp Middle School,65.5,21.7,12.9
Sope Creek Elementary School,91.4,7.7,0.9
Powder Springs Elementary School,55.2,30.6,14.2
Timber Ridge Elementary School,75.7,19.3,5.0
Lost Mountain Middle School,83.7,14.6,1.8
