School Name,County,Urban/Rural,Classification,19-21 Difference in Math,19-21 Difference in English,All Students English Achievement,All Students Math Achievement,2021 All Students English Achievement,2021 All Students Math Achievement,American Indian/Alaskan English Achievement,American Indian/Alaskan Math Achievement,Asian/Pacific Islander English Achievement,Asian/Pacific Islander Math Achievement,Black English Achievement,Black Math Achievement,Economically Disadvantaged English Achievement,Economically Disadvantaged Math Achievement,Hispanic English Achievement,Hispanic Math Achievement,White English Achievement,White Math Achievement,Students With Disability English Achievement,Students With Disability Math Achievement,2021 American Indian/Alaskan English Achievement,2021 American Indian/Alaskan Math Achievement,2021 Asian/Pacific Islander English Achievement,2021 Asian/Pacific Islander Math Achievement,2021 Black English Achievement,2021 Black Math Achievement,2021 Economically Disadvantaged English Achievement,2021 Economically Disadvantaged Math Achievement,2021 Hispanic English Achievement,2021 Hispanic Math Achievement,2021 White English Achievement,2021 White Math Achievement,2021 Students With Disability English Achievement,2021 Students With Disability Math Achievement
Sweetwater Middle School,Gwinnett County,Urban,M,-18.190000000000005,-7.769999999999996,63.76,70.48,55.99,52.29,0.0,0.0,92.32,100.0,65.53,68.78,62.25,69.58,59.62,66.83,73.53,77.94,25.4,37.05,0.0,0.0,68.57,77.95,60.9,49.57,54.87,51.77,53.08,51.34,59.69,58.06,23.33,22.67
Five Forks Middle School,Gwinnett County,Urban,M,-20.22,-15.200000000000003,93.08,100.0,77.88,79.78,0.0,0.0,100.0,100.0,84.38,89.31,79.15,88.6,78.14,89.94,97.37,100.0,38.81,49.3,0.0,0.0,96.06,0.0,74.47,72.51,66.13,67.45,59.58,61.75,81.97,83.79,33.34,36.42
Beaver Ridge Elementary School,Gwinnett County,Urban,E,-19.279999999999994,-14.419999999999995,56.55,68.16,42.13,48.88,0.0,0.0,84.62,87.27,51.95,59.3,54.88,66.13,52.76,67.76,0.0,0.0,19.06,35.5,0.0,0.0,70.0,80.0,36.07,36.08,40.04,46.12,39.52,48.51,0.0,0.0,12.71,16.94
Annistown Elementary School,Gwinnett County,Urban,E,-25.15,-3.460000000000008,65.65,79.39,62.19,54.24,0.0,0.0,0.0,0.0,69.01,80.22,60.27,74.23,54.65,74.42,56.67,66.68,30.21,44.81,0.0,0.0,0.0,0.0,70.0,55.0,54.52,47.93,48.67,50.0,0.0,0.0,12.5,10.72
Shiloh Middle School,Gwinnett County,Urban,M,-23.28,-24.020000000000003,65.75,60.32,41.73,37.04,0.0,0.0,88.64,82.59,66.2,60.04,61.36,55.8,61.05,56.19,60.28,59.6,24.58,21.52,0.0,0.0,53.13,40.63,42.46,36.43,37.58,35.5,36.9,37.7,41.66,35.49,19.42,17.04
Hopkins Elementary School,Gwinnett County,Urban,E,-24.090000000000003,-20.14,57.46,65.54,37.32,41.45,0.0,0.0,88.0,92.0,56.41,62.19,56.9,65.39,55.23,63.99,61.13,66.67,18.24,27.66,0.0,0.0,61.9,64.29,40.74,38.89,36.69,40.76,35.15,39.62,0.0,0.0,16.98,21.15
Norton Elementary School,Gwinnett County,Urban,E,-36.3,-21.86,73.47,78.22,51.61,41.92,0.0,0.0,0.0,0.0,71.92,77.56,69.56,74.46,76.64,79.9,75.62,79.28,28.58,38.1,0.0,0.0,0.0,0.0,53.28,41.33,49.07,38.74,42.3,36.8,0.0,0.0,21.05,23.68
Minor Elementary School,Gwinnett County,Urban,E,-15.059999999999995,-11.340000000000003,56.85,64.32,45.51,49.26,0.0,0.0,99.17,100.0,59.02,63.23,55.52,63.21,47.67,56.68,0.0,0.0,32.71,40.13,0.0,0.0,70.0,86.68,46.88,44.15,43.51,47.66,42.53,46.34,0.0,0.0,18.74,20.83
McKendree Elementary School,Gwinnett County,Urban,E,-21.439999999999998,-16.239999999999995,68.1,80.3,51.86,58.86,0.0,0.0,91.04,100.0,60.58,70.43,61.48,74.85,64.24,77.16,82.46,98.06,31.14,43.87,0.0,0.0,81.82,96.96,44.53,50.84,47.02,53.74,47.86,53.62,57.27,65.46,24.72,30.35
Shiloh Elementary School,Gwinnett County,Urban,E,-12.019999999999996,-11.159999999999997,71.05,77.7,59.89,65.68,0.0,0.0,73.69,86.85,65.84,73.97,66.44,73.62,79.23,79.24,96.16,100.0,29.46,34.25,0.0,0.0,0.0,0.0,61.38,65.5,55.89,63.07,53.0,61.22,0.0,0.0,20.32,23.44
Nesbit Elementary School,Gwinnett County,Urban,E,-21.010000000000005,-11.25,46.06,64.98,34.81,43.97,0.0,0.0,75.93,92.59,59.41,70.7,44.92,64.94,40.04,61.01,56.67,76.67,12.98,23.69,0.0,0.0,59.38,90.63,44.31,57.96,34.91,42.11,31.03,39.1,0.0,0.0,16.12,20.97
Fort Daniel Elementary School,Gwinnett County,Urban,E,-19.430000000000007,-16.519999999999996,95.72,97.78,79.2,78.35,0.0,0.0,100.0,100.0,82.2,82.21,82.05,89.34,92.87,89.69,99.14,100.0,60.92,74.56,0.0,0.0,0.0,0.0,51.13,51.15,63.02,66.2,67.8,69.31,89.4,86.76,48.94,44.57
Sugar Hill Elementary School,Gwinnett County,Urban,E,-11.169999999999987,-10.330000000000013,90.43,91.32,80.1,80.15,0.0,0.0,100.0,100.0,81.88,83.84,78.02,79.96,75.36,74.65,98.06,97.85,54.18,59.47,0.0,0.0,0.0,0.0,70.91,68.19,70.58,69.89,66.08,65.64,87.5,87.82,43.14,50.98
Hull Middle School,Gwinnett County,Urban,M,-15.159999999999997,-8.129999999999995,98.28,100.0,90.15,84.84,0.0,0.0,100.0,100.0,79.93,81.38,82.15,88.71,90.2,88.85,100.0,100.0,49.37,48.7,0.0,0.0,0.0,0.0,73.21,60.17,65.39,64.29,76.04,55.13,99.99,0.0,39.42,41.51
Mason Elementary School,Gwinnett County,Urban,E,-8.310000000000002,-10.39,92.81,96.64,82.42,88.33,0.0,0.0,100.0,100.0,70.09,67.3,72.03,76.5,64.4,70.45,100.0,100.0,50.0,49.02,0.0,0.0,94.66,0.0,68.18,66.92,69.16,71.74,65.87,70.74,94.32,0.0,48.57,61.43
Stripling Elementary School,Gwinnett County,Urban,E,-14.29,-7.050000000000004,48.85,61.75,41.8,47.46,0.0,0.0,0.0,0.0,48.23,55.33,48.04,62.02,46.99,65.2,0.0,0.0,23.15,32.41,0.0,0.0,0.0,0.0,45.01,48.53,39.83,45.4,38.84,46.25,0.0,0.0,17.35,17.71
Berkmar Middle School,Gwinnett County,Urban,M,-23.6,-18.429999999999993,64.21,60.89,45.78,37.29,0.0,0.0,100.0,100.0,68.12,59.57,62.16,59.27,57.64,55.4,82.9,71.06,21.3,21.55,0.0,0.0,82.92,79.26,49.34,32.0,45.65,37.01,42.05,34.13,0.0,0.0,23.19,20.15
Ivy Creek Elementary School,Gwinnett County,Urban,E,-0.9500000000000028,-0.6999999999999886,95.49,98.94,94.79,97.99,0.0,0.0,100.0,100.0,76.48,76.96,78.4,86.73,81.53,88.75,100.0,100.0,60.35,65.52,0.0,0.0,97.48,0.0,79.88,81.4,78.58,86.95,82.24,85.51,0.0,0.0,63.64,66.45
Rosebud Elementary School,Gwinnett County,Urban,E,-23.459999999999994,-16.309999999999995,69.46,68.66,53.15,45.2,0.0,0.0,0.0,0.0,68.69,66.71,65.42,64.86,67.64,77.45,80.0,80.0,41.56,41.57,0.0,0.0,0.0,0.0,55.05,46.19,49.47,42.78,41.02,42.31,0.0,0.0,24.48,25.55
Gwin Oaks Elementary School,Gwinnett County,Urban,E,-9.349999999999994,-4.509999999999991,89.74,99.61,85.23,90.26,0.0,0.0,100.0,100.0,85.49,89.7,71.73,85.16,68.4,80.46,94.45,100.0,55.4,61.55,0.0,0.0,90.42,98.64,80.93,82.9,71.65,76.81,68.34,68.34,92.57,100.0,47.96,46.94
Dacula Middle School,Gwinnett County,Urban,M,-21.389999999999993,-16.9,80.55,78.71,63.65,57.32,0.0,0.0,94.86,100.0,74.9,71.05,71.24,68.48,71.74,69.96,95.07,94.61,31.18,34.13,0.0,0.0,89.49,76.33,56.7,48.85,51.6,45.64,52.1,47.01,78.82,74.63,26.44,26.32
Arcado Elementary School,Gwinnett County,Urban,E,-29.159999999999997,-20.11,88.19,93.28,68.08,64.12,0.0,0.0,100.0,100.0,85.3,87.82,72.2,79.2,60.75,70.25,96.48,100.0,43.76,46.88,0.0,0.0,80.46,80.46,73.48,60.6,54.97,50.79,45.18,42.91,89.58,77.56,35.35,40.35
Gwinnett InterVention Education (GIVE) Center East,Gwinnett County,Urban,H,-24.14,-25.01,25.01,24.14,0.0,0.0,0.0,0.0,0.0,0.0,21.88,23.53,29.17,22.92,43.33,25.81,50.0,22.22,21.12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedar Hill Elementary School,Gwinnett County,Urban,E,-10.310000000000002,-8.619999999999997,63.72,66.31,55.1,56.0,0.0,0.0,95.14,95.13,64.57,64.57,60.44,63.27,54.06,57.31,73.18,82.94,27.29,32.96,0.0,0.0,84.78,73.91,59.84,59.41,51.22,53.63,45.95,48.99,63.06,68.75,19.22,25.64
Pharr Elementary School,Gwinnett County,Urban,E,-9.900000000000006,-4.059999999999988,90.99,96.0,86.93,86.1,0.0,0.0,100.0,100.0,82.73,83.81,78.38,82.88,80.44,93.49,100.0,100.0,47.92,47.23,0.0,0.0,91.3,91.29,91.92,83.83,77.27,78.18,72.23,72.22,92.98,96.49,44.58,42.4
Simonton Elementary School,Gwinnett County,Urban,E,-21.589999999999996,-15.25,62.63,64.33,47.38,42.74,0.0,0.0,59.1,75.01,57.2,55.17,59.95,60.3,63.6,66.14,76.42,78.32,26.47,26.47,0.0,0.0,0.0,0.0,45.46,34.88,42.76,39.9,40.95,40.01,58.57,59.72,20.0,32.0
Magill Elementary School,Gwinnett County,Urban,E,-14.719999999999999,-20.680000000000007,64.37,64.58,43.69,49.86,0.0,0.0,0.0,0.0,65.0,62.98,59.2,61.69,53.53,61.33,73.19,67.4,25.63,27.51,0.0,0.0,0.0,0.0,46.1,49.49,40.3,47.33,34.19,46.46,49.06,54.72,19.49,29.6
Partee Elementary School,Gwinnett County,Urban,E,-18.849999999999994,-7.709999999999994,83.24,83.89,75.53,65.04,0.0,0.0,85.72,100.0,81.87,81.81,74.68,77.35,82.0,85.0,90.63,87.5,41.67,50.83,0.0,0.0,0.0,0.0,73.12,61.82,68.42,58.95,72.42,67.25,0.0,0.0,35.0,22.5
Jones Middle School,Gwinnett County,Urban,M,-16.830000000000013,-7.030000000000001,92.35,95.4,85.32,78.57,0.0,0.0,100.0,100.0,79.95,77.17,81.24,84.9,76.76,84.29,99.64,100.0,37.23,46.6,0.0,0.0,99.49,0.0,78.58,63.36,76.3,68.21,71.92,64.24,91.33,84.17,42.31,36.76
Puckett's Mill Elementary School,Gwinnett County,Urban,E,-100.0,-100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,92.6,87.04,86.44,89.29,100.0,92.31,100.0,100.0,58.35,71.12,0.0,0.0,0.0,0.0,95.75,87.24,77.0,83.67,77.63,85.14,0.0,0.0,76.52,81.06
Simpson Elementary School,Gwinnett County,Urban,E,-100.0,-100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,95.0,90.01,93.77,85.42,100.0,100.0,71.78,77.75,0.0,0.0,0.0,0.0,85.49,91.94,87.5,89.29,96.16,88.46,0.0,0.0,67.66,85.0
Kanoheda Elementary School,Gwinnett County,Urban,E,-18.72,-10.299999999999997,64.99,75.63,54.69,56.91,0.0,0.0,0.0,0.0,69.0,74.0,63.45,74.19,63.4,75.0,47.06,67.66,30.52,38.14,0.0,0.0,0.0,0.0,64.85,58.59,54.65,57.98,48.04,53.63,0.0,0.0,23.87,31.12
McConnell Middle School,Gwinnett County,Urban,M,-16.049999999999997,-11.340000000000003,82.09,80.2,70.75,64.15,0.0,0.0,93.75,100.0,75.63,73.07,70.73,69.19,74.94,75.49,95.81,93.17,37.75,37.84,0.0,0.0,81.44,90.0,66.73,54.39,64.31,56.32,63.16,57.38,81.55,81.95,31.36,28.17
Taylor Elementary School,Gwinnett County,Urban,E,-6.099999999999994,-0.789999999999992,86.27,87.91,85.48,81.81,0.0,0.0,100.0,100.0,79.43,81.1,75.13,76.66,77.88,79.21,94.56,97.28,52.03,50.69,0.0,0.0,92.11,97.37,70.79,67.42,75.81,74.68,78.33,74.44,0.0,0.0,44.32,47.68
Sycamore Elementary School,Gwinnett County,Urban,E,-13.769999999999996,-11.029999999999994,71.8,76.55,60.77,62.78,0.0,0.0,100.0,100.0,65.25,64.4,61.06,65.49,63.51,69.53,79.47,87.39,33.33,46.67,0.0,0.0,0.0,0.0,50.0,47.73,52.03,52.53,53.43,52.06,68.39,79.41,23.71,25.0
Trip Elementary School,Gwinnett County,Urban,E,-18.58999999999999,-17.480000000000004,93.23,99.13,75.75,80.54,0.0,0.0,100.0,100.0,93.11,97.15,83.09,92.1,77.95,91.18,100.0,100.0,51.11,60.55,0.0,0.0,55.55,69.45,74.7,79.71,68.88,74.51,74.36,75.64,82.47,87.72,44.9,50.0
Cooper Elementary School,Gwinnett County,Urban,E,-6.310000000000002,-5.489999999999995,82.67,84.67,77.18,78.36,0.0,0.0,70.59,94.12,76.21,75.58,72.05,75.75,79.25,81.62,92.75,96.78,42.58,48.39,0.0,0.0,66.66,76.67,69.49,68.09,67.22,66.13,77.22,74.26,90.14,95.58,42.41,46.21
Patrick Elementary School,Gwinnett County,Urban,E,-16.86,-8.540000000000006,85.01,95.83,76.47,78.97,0.0,0.0,99.08,100.0,73.5,73.23,72.76,81.72,77.43,93.56,89.85,100.0,49.33,55.49,0.0,0.0,85.24,0.0,68.03,59.9,63.63,66.12,68.32,72.53,87.82,92.95,35.49,34.68
Parsons Elementary School,Gwinnett County,Urban,E,-21.03,-12.129999999999995,100.0,100.0,87.87,78.97,0.0,0.0,100.0,100.0,93.59,79.49,79.73,74.33,90.9,77.27,100.0,98.75,65.49,67.87,0.0,0.0,91.29,95.93,84.72,62.51,82.36,67.66,86.36,66.67,84.39,73.45,54.76,45.24
Peachtree Ridge High School,Gwinnett County,Urban,H,-34.349999999999994,-24.67,92.31,84.57,67.64,50.22,0.0,0.0,100.0,100.0,82.77,69.7,76.97,67.07,73.64,62.82,100.0,100.0,47.06,37.25,0.0,0.0,83.18,64.4,54.55,45.4,50.81,46.95,46.99,45.69,88.96,57.85,25.59,23.38
Alcova Elementary School,Gwinnett County,Urban,E,-14.240000000000009,-8.779999999999994,72.1,75.79,63.32,61.55,0.0,0.0,81.44,88.58,70.06,72.79,67.05,70.13,68.93,73.17,82.32,84.34,37.49,43.49,0.0,0.0,85.73,85.72,60.5,55.73,59.27,59.55,58.33,56.95,71.43,78.58,30.41,33.57
Bay Creek Middle School,Gwinnett County,Urban,M,-30.619999999999997,-21.690000000000005,83.56,85.1,61.87,54.48,0.0,0.0,100.0,100.0,78.87,79.07,75.48,78.75,76.95,80.84,95.64,98.56,36.34,41.01,0.0,0.0,0.0,0.0,58.67,49.47,58.57,53.04,60.28,56.17,72.16,68.36,21.36,22.06
Grace Snell Middle School,Gwinnett County,Urban,M,-26.21,-16.93999999999999,67.32,67.75,50.38,41.54,0.0,0.0,56.53,73.91,68.67,65.79,62.47,63.55,58.12,68.28,75.34,81.33,25.58,26.6,0.0,0.0,0.0,0.0,51.03,41.61,47.17,38.16,43.64,38.13,64.28,60.0,17.98,19.44
Ferguson Elementary School,Gwinnett County,Urban,E,-32.88,-20.93,62.08,71.4,41.15,38.52,0.0,0.0,100.0,100.0,69.08,77.87,59.97,69.5,52.08,63.43,0.0,0.0,18.26,27.79,0.0,0.0,0.0,0.0,49.26,42.65,40.74,39.2,33.22,31.34,0.0,0.0,20.74,28.75
Roberts Elementary School,Gwinnett County,Urban,E,-100.0,-6.450000000000003,100.0,100.0,93.55,0.0,0.0,0.0,100.0,100.0,85.97,92.11,86.01,83.35,91.47,100.0,100.0,100.0,64.76,68.34,0.0,0.0,98.08,0.0,75.0,70.84,68.06,65.28,84.0,76.0,96.08,0.0,48.48,54.54
Jenkins Elementary School,Gwinnett County,Urban,E,-8.660000000000004,-8.780000000000001,68.0,72.06,59.22,63.4,0.0,0.0,0.0,0.0,67.55,69.3,66.1,69.12,62.28,70.26,76.57,81.27,29.36,33.33,0.0,0.0,0.0,0.0,58.28,60.83,59.19,67.2,55.61,60.37,70.46,75.0,17.05,21.59
Anderson-Livsey Elementary School,Gwinnett County,Urban,E,-18.33,-11.259999999999998,58.94,63.47,47.68,45.14,0.0,0.0,0.0,0.0,61.15,63.57,53.96,61.18,46.56,56.9,76.46,82.37,23.34,24.17,0.0,0.0,0.0,0.0,47.92,43.39,42.59,40.8,37.33,40.85,0.0,0.0,20.27,22.37
Burnette Elementary School,Gwinnett County,Urban,E,-16.710000000000008,-17.819999999999993,98.36,99.84,80.54,83.13,0.0,0.0,100.0,100.0,87.66,85.4,83.5,86.0,82.99,78.73,100.0,100.0,54.23,59.16,0.0,0.0,93.93,0.0,65.86,60.98,64.13,60.88,63.05,69.57,89.34,90.98,51.28,65.8
Lanier High School,Gwinnett County,Urban,H,-38.45,0.1599999999999966,84.45,77.81,84.61,39.36,0.0,0.0,93.66,99.26,74.72,68.0,70.41,61.92,74.2,65.29,93.48,87.19,35.38,36.75,0.0,0.0,0.0,0.0,72.51,41.07,61.31,27.33,60.1,29.55,0.0,47.48,16.0,18.48
"Gwinnett School of Mathematics, Science and Technology",Gwinnett County,Urban,H,-100.0,-100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,93.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Life Academy of Excellence,Gwinnett County,Urban,E,-21.21,-8.11,77.07,72.94,68.96,51.73,0.0,0.0,0.0,0.0,76.35,70.28,76.19,66.67,73.52,67.64,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,72.34,54.26,51.78,30.36,48.29,44.83,0.0,0.0,0.0,0.0
Berkmar High School,Gwinnett County,Urban,H,-39.739999999999995,-16.21,64.19,51.73,47.98,11.99,0.0,0.0,83.99,84.2,61.14,43.98,64.46,53.79,62.16,49.91,60.0,66.67,21.11,17.51,0.0,0.0,82.35,0.0,48.0,15.0,50.88,11.22,43.59,9.58,0.0,0.0,10.35,13.28
Dyer Elementary School,Gwinnett County,Urban,E,1.230000000000004,1.1300000000000097,88.21,97.74,89.34,98.97,0.0,0.0,86.22,100.0,87.61,91.97,80.33,89.11,77.73,86.43,98.19,100.0,44.2,60.47,0.0,0.0,0.0,0.0,88.03,92.74,80.2,89.94,76.93,85.25,99.54,0.0,49.28,60.01
Lilburn Middle School,Gwinnett County,Urban,M,-24.42,-8.160000000000004,54.14,61.63,45.98,37.21,0.0,0.0,87.97,99.64,58.11,60.83,51.83,59.77,48.75,56.55,75.53,84.38,15.14,27.57,0.0,0.0,80.01,71.11,51.94,34.04,43.82,35.59,41.45,34.31,79.55,56.83,15.97,13.41
Alford Elementary,Gwinnett County,Urban,E,-26.25,-14.600000000000001,64.78,73.8,50.18,47.55,0.0,0.0,66.34,87.5,72.23,69.91,59.64,70.11,60.08,71.79,68.06,76.4,24.68,38.31,0.0,0.0,64.29,71.42,56.04,38.79,48.8,45.0,44.47,42.81,56.26,62.5,16.39,17.24
Starling Elementary School,Gwinnett County,Urban,E,-7.3799999999999955,-10.829999999999998,84.92,88.39,74.09,81.01,0.0,0.0,99.08,100.0,82.43,82.43,73.5,76.4,68.59,72.73,91.01,98.56,32.43,39.87,0.0,0.0,93.33,0.0,73.22,76.78,66.79,71.0,60.17,72.88,79.58,89.44,33.68,41.84
Moore Middle School,Gwinnett County,Urban,M,-26.099999999999994,-7.229999999999997,56.98,66.6,49.75,40.5,0.0,0.0,77.89,91.34,55.03,58.9,54.1,64.5,54.79,68.67,60.1,70.96,24.32,32.89,0.0,0.0,83.34,79.42,45.43,32.85,46.33,37.54,49.7,41.63,53.26,46.74,15.19,13.92
Gwinnett Intervention Education Center (GIVE) West,Gwinnett County,Urban,H,-12.28,-4.989999999999998,25.0,27.91,20.01,15.63,0.0,0.0,0.0,0.0,18.33,16.67,21.21,26.39,16.67,23.34,0.0,0.0,23.08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northbrook Middle School,Gwinnett County,Urban,M,-20.809999999999988,-13.149999999999991,82.3,91.46,69.15,70.65,0.0,0.0,100.0,100.0,80.22,85.76,74.27,83.36,69.04,78.79,98.14,100.0,37.51,50.84,0.0,0.0,98.75,0.0,68.7,59.06,58.85,63.36,54.37,58.54,91.04,90.49,27.34,32.61
Duncan Creek Elementary,Gwinnett County,Urban,E,-6.570000000000007,-6.310000000000002,92.9,96.2,86.59,89.63,0.0,0.0,100.0,100.0,80.86,78.13,76.55,78.08,79.62,81.58,98.41,100.0,39.52,52.53,0.0,0.0,86.96,0.0,77.91,75.88,69.45,70.84,73.5,76.51,93.42,96.26,41.79,43.16
Couch Middle School,Gwinnett County,Urban,M,-31.740000000000002,-16.060000000000002,86.65,90.12,70.59,58.38,0.0,0.0,99.37,100.0,85.34,85.11,76.66,79.49,77.02,82.48,92.7,98.71,38.23,47.46,0.0,0.0,88.89,83.34,68.44,48.95,57.65,44.88,55.23,45.57,80.8,77.62,27.01,20.24
Gwinnett Online Campus,Gwinnett County,Urban,E,5.019999999999996,-3.75,94.18,78.31,90.43,83.33,0.0,0.0,0.0,0.0,94.75,73.69,0.0,0.0,85.3,79.41,92.85,79.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,91.18,0.0,0.0
North Metro Academy of Performing Arts,Gwinnett County,Urban,E,-23.0,-12.550000000000004,53.46,61.54,40.91,38.54,0.0,0.0,0.0,0.0,55.41,61.27,52.34,63.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.67,41.66,39.75,37.34,0.0,0.0,0.0,0.0,0.0,0.0
Winn Holt Elementary School,Gwinnett County,Urban,E,-11.739999999999995,-13.399999999999999,60.66,67.49,47.26,55.75,0.0,0.0,79.49,87.19,61.14,62.58,56.12,64.11,56.53,67.62,60.71,68.45,23.98,34.7,0.0,0.0,65.0,81.68,46.93,46.93,46.47,53.71,44.05,52.68,48.37,65.57,23.85,28.47
Level Creek Elementary School,Gwinnett County,Urban,E,-100.0,-100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,87.51,77.95,85.31,95.84,100.0,100.0,100.0,68.84,72.73,0.0,0.0,0.0,0.0,0.0,98.33,96.25,0.0,0.0,0.0,0.0,0.0,59.38,69.54
Mountain View High School,Gwinnett County,Urban,H,-41.580000000000005,-19.549999999999997,87.57,84.31,68.02,42.73,0.0,0.0,98.56,100.0,82.1,75.34,76.68,72.94,76.66,72.35,96.16,94.13,41.47,29.81,0.0,0.0,0.0,44.45,68.64,43.05,49.24,43.85,42.12,40.42,72.45,45.9,7.14,25.66
Radloff Middle School,Gwinnett County,Urban,M,-25.31,-15.670000000000002,53.9,56.94,38.23,31.63,0.0,0.0,85.09,100.0,58.47,52.57,53.03,56.45,49.32,55.06,76.2,66.67,23.79,34.36,0.0,0.0,69.44,52.78,40.77,28.63,37.93,31.85,36.39,31.52,55.88,38.89,20.96,22.39
North Gwinnett Middle School,Gwinnett County,Urban,M,-100.0,-4.8700000000000045,100.0,100.0,95.13,0.0,0.0,0.0,100.0,100.0,92.64,90.96,88.3,95.6,91.81,94.35,100.0,100.0,57.7,63.35,0.0,0.0,0.0,0.0,80.4,83.46,75.99,76.67,78.98,80.29,92.77,0.0,53.49,55.5
Chesney Elementary School,Gwinnett County,Urban,E,-19.370000000000005,-20.189999999999998,63.68,74.28,43.49,54.91,0.0,0.0,96.0,100.0,61.15,63.19,59.98,71.54,57.83,72.42,79.17,89.59,25.01,23.22,0.0,0.0,60.35,75.86,45.98,43.61,40.46,53.02,35.59,52.93,85.42,89.59,17.86,27.9
Twin Rivers Middle School,Gwinnett County,Urban,M,-24.790000000000006,-13.239999999999995,89.44,98.98,76.2,74.19,0.0,0.0,100.0,100.0,79.73,87.55,78.19,86.89,81.04,90.73,96.78,100.0,39.47,54.1,0.0,0.0,92.66,99.09,67.29,61.3,63.29,63.08,64.7,62.94,86.42,84.29,31.63,33.27
Archer High School,Gwinnett County,Urban,H,-16.53,-10.150000000000006,91.42,71.58,81.27,55.05,0.0,0.0,95.0,84.21,81.51,61.84,82.27,63.94,88.78,70.49,100.0,84.87,26.5,24.16,0.0,0.0,97.63,0.0,73.4,51.58,69.87,47.78,69.57,56.04,98.4,63.95,25.0,30.95
Woodward Mill Elementary School,Gwinnett County,Urban,E,-11.14,-6.910000000000011,83.18,95.84,76.27,84.7,0.0,0.0,95.54,100.0,80.59,93.21,72.28,86.36,75.01,89.19,87.81,98.48,31.39,48.26,0.0,0.0,83.33,0.0,78.68,77.86,64.97,73.57,65.68,74.63,87.28,95.91,33.89,39.83
Baggett Elementary School,Gwinnett County,Urban,E,-24.130000000000003,-11.810000000000002,58.04,68.48,46.23,44.35,0.0,0.0,87.51,100.0,57.11,62.0,56.38,67.35,54.69,68.73,56.77,68.92,30.73,35.01,0.0,0.0,61.54,57.7,46.85,36.57,45.81,42.5,43.25,45.68,43.75,50.0,11.82,14.82
Graves Elementary School,Gwinnett County,Urban,E,-15.219999999999999,-11.690000000000005,55.2,63.43,43.51,48.21,0.0,0.0,94.74,94.73,67.12,60.91,53.64,61.89,48.16,61.59,87.5,90.0,22.4,30.6,0.0,0.0,0.0,0.0,55.83,55.01,43.06,47.63,39.12,44.13,0.0,0.0,22.62,26.19
Jordan Middle School,Gwinnett County,Urban,M,-24.18,-15.060000000000002,61.6,60.01,46.54,35.83,0.0,0.0,85.96,90.91,60.61,57.35,59.37,58.51,57.84,57.82,63.06,66.68,28.01,26.15,0.0,0.0,0.0,0.0,44.03,32.65,44.81,34.98,46.01,34.88,65.0,51.57,18.23,18.95
Discovery High School,Gwinnett County,Urban,H,-24.029999999999998,-14.499999999999993,68.57,54.54,54.07,30.51,0.0,0.0,83.7,80.33,62.54,49.71,67.11,53.09,66.65,51.79,87.34,65.47,27.3,22.82,0.0,0.0,78.13,53.13,55.67,30.3,54.96,28.02,44.95,28.65,63.63,0.0,17.44,18.45
Coleman Middle School,Gwinnett County,Urban,M,-27.64,-21.090000000000003,90.97,95.97,69.88,68.33,0.0,0.0,100.0,100.0,81.62,80.75,77.82,82.54,80.67,84.36,100.0,100.0,43.19,48.88,0.0,0.0,99.3,0.0,61.97,55.19,55.88,52.44,48.3,50.86,84.88,80.94,24.24,29.56
Baldwin Elementary,Gwinnett County,Urban,E,-26.319999999999993,-17.659999999999997,63.0,73.1,45.34,46.78,0.0,0.0,98.08,100.0,51.8,50.01,62.26,73.33,62.06,74.01,0.0,0.0,20.01,31.34,0.0,0.0,0.0,0.0,50.0,51.85,45.69,47.99,42.76,43.92,0.0,0.0,11.76,14.29
Paul Duke STEM High School,Gwinnett County,Urban,H,-27.940000000000005,-34.269999999999996,85.74,69.15,51.47,41.21,0.0,0.0,100.0,96.36,84.69,65.89,76.72,62.2,71.81,58.18,100.0,88.69,41.67,26.19,0.0,0.0,0.0,0.0,63.24,35.94,44.72,33.77,38.24,35.0,70.84,0.0,0.0,23.53
Bethesda Elementary School,Gwinnett County,Urban,E,-27.68999999999999,-18.660000000000004,66.06,78.46,47.4,50.77,0.0,0.0,90.0,100.0,72.8,74.4,62.86,75.9,58.68,73.55,81.04,89.67,33.15,46.19,0.0,0.0,77.5,77.5,53.13,48.45,46.36,50.19,41.79,47.97,53.13,59.38,26.47,37.25
