School Name,County,Urban/Rural,Classification,19-21 Difference in Math,19-21 Difference in English,All Students English Achievement,All Students Math Achievement,2021 All Students English Achievement,2021 All Students Math Achievement,American Indian/Alaskan English Achievement,American Indian/Alaskan Math Achievement,Asian/Pacific Islander English Achievement,Asian/Pacific Islander Math Achievement,Black English Achievement,Black Math Achievement,Economically Disadvantaged English Achievement,Economically Disadvantaged Math Achievement,Hispanic English Achievement,Hispanic Math Achievement,White English Achievement,White Math Achievement,Students With Disability English Achievement,Students With Disability Math Achievement,2021 American Indian/Alaskan English Achievement,2021 American Indian/Alaskan Math Achievement,2021 Asian/Pacific Islander English Achievement,2021 Asian/Pacific Islander Math Achievement,2021 Black English Achievement,2021 Black Math Achievement,2021 Economically Disadvantaged English Achievement,2021 Economically Disadvantaged Math Achievement,2021 Hispanic English Achievement,2021 Hispanic Math Achievement,2021 White English Achievement,2021 White Math Achievement,2021 Students With Disability English Achievement,2021 Students With Disability Math Achievement
Apalachee High School,Barrow County,Urban,H,-28.43,-14.030000000000001,72.69,59.47,58.66,31.04,0.0,0.0,81.25,74.29,61.24,40.27,65.76,53.11,67.84,55.79,77.39,65.75,33.33,23.18,0.0,0.0,0.0,0.0,45.0,19.53,57.09,30.68,59.65,29.27,64.06,36.62,30.76,21.55
County Line Elementary School,Barrow County,Urban,E,-7.140000000000001,-16.049999999999997,71.88,76.67,55.83,69.53,0.0,0.0,75.01,81.26,53.33,53.34,64.23,68.08,64.44,69.23,76.05,80.91,28.42,37.52,0.0,0.0,57.9,86.85,0.0,0.0,44.2,59.37,44.79,58.34,59.6,70.8,23.92,35.87
Haymon-Morris Middle School,Barrow County,Urban,M,-15.809999999999995,-10.280000000000001,66.97,69.85,56.69,54.04,0.0,0.0,70.97,80.65,53.9,50.97,58.13,62.48,55.6,65.0,74.06,75.28,27.18,28.09,0.0,0.0,65.79,81.59,52.83,42.6,48.91,47.44,50.92,45.68,61.17,60.44,27.99,29.53
Bear Creek Middle School,Barrow County,Urban,M,-2.5400000000000063,-8.299999999999997,52.98,42.34,44.68,39.8,0.0,0.0,75.01,81.67,52.2,41.35,50.4,40.17,60.58,52.41,75.9,78.07,18.59,15.39,0.0,0.0,56.67,58.34,42.98,37.5,43.16,38.75,47.14,48.61,67.36,57.46,6.45,9.39
Kennedy Elementary School,Barrow County,Urban,E,-9.599999999999994,-10.049999999999997,66.96,77.05,56.91,67.45,0.0,0.0,69.45,88.9,54.16,65.98,59.89,70.22,64.37,73.0,72.28,82.1,37.98,48.72,0.0,0.0,0.0,0.0,35.53,50.67,52.15,61.36,55.19,70.67,66.78,72.48,37.09,49.16
Bramlett Elementary School,Barrow County,Urban,E,-11.600000000000009,-17.75999999999999,84.38,86.95,66.62,75.35,0.0,0.0,88.65,97.73,62.0,74.0,71.14,78.19,74.0,83.0,88.29,87.17,59.78,57.61,0.0,0.0,58.33,68.76,0.0,0.0,59.01,66.82,67.47,76.62,68.03,75.0,39.8,43.87
Westside Middle School,Barrow County,Urban,M,-5.6200000000000045,-5.450000000000003,78.0,80.75,72.55,75.13,0.0,0.0,62.07,62.06,51.5,47.96,65.05,67.76,67.2,71.88,80.02,82.3,44.81,43.51,0.0,0.0,58.63,43.11,40.12,35.63,62.91,63.96,71.94,73.69,71.78,74.54,28.67,36.67
Bethlehem Elementary School,Barrow County,Urban,E,-13.810000000000002,-13.420000000000002,57.28,59.86,43.86,46.05,0.0,0.0,0.0,0.0,48.08,48.07,49.44,55.68,70.0,70.0,70.51,79.48,12.0,32.0,0.0,0.0,0.0,0.0,43.91,43.29,37.17,42.3,50.66,47.37,57.79,60.0,46.88,37.5
Russell Middle School,Barrow County,Urban,M,-17.699999999999996,-11.569999999999993,68.71,73.63,57.14,55.93,0.0,0.0,73.0,86.0,51.54,52.31,56.53,63.99,65.35,71.48,72.92,78.86,26.79,32.14,0.0,0.0,61.82,74.52,38.55,33.92,45.5,43.82,51.52,47.18,63.21,61.5,22.49,27.52
Yargo Elementary School,Barrow County,Urban,E,-17.059999999999995,-18.54,76.61,77.44,58.07,60.38,0.0,0.0,82.56,79.28,66.66,65.95,65.76,70.7,61.85,71.71,85.3,82.88,44.18,56.4,0.0,0.0,0.0,0.0,54.36,50.0,54.34,55.5,53.25,49.36,61.58,67.8,35.6,45.0
Winder Elementary School,Barrow County,Urban,E,-17.159999999999997,-20.229999999999997,65.33,64.0,45.1,46.84,0.0,0.0,78.13,84.38,40.52,41.37,56.66,56.91,68.47,66.15,72.43,68.39,33.33,30.95,0.0,0.0,0.0,0.0,28.84,30.76,35.9,38.96,52.04,57.3,52.15,53.89,11.84,21.05
Auburn Elementary School,Barrow County,Urban,E,-6.199999999999996,-9.410000000000004,59.42,64.94,50.01,58.74,0.0,0.0,50.01,61.38,42.1,50.0,55.83,59.23,68.42,71.93,58.12,63.96,27.19,28.95,0.0,0.0,22.22,33.34,0.0,0.0,44.59,53.51,48.3,53.38,54.39,64.61,19.12,29.41
Winder-Barrow High School,Barrow County,Urban,H,-23.94,-7.029999999999994,70.88,55.21,63.85,31.27,0.0,0.0,77.61,72.8,55.65,40.7,60.28,46.65,62.57,49.51,76.9,59.4,40.56,26.65,0.0,0.0,74.15,0.0,42.06,19.45,51.19,23.54,50.01,29.38,72.83,36.07,25.49,10.77
Holsenbeck Elementary School,Barrow County,Urban,E,-12.11,-18.78000000000001,76.15,75.69,57.37,63.58,0.0,0.0,68.75,65.63,62.91,59.69,69.29,67.27,77.78,77.78,78.42,79.48,35.97,36.84,0.0,0.0,53.34,43.34,54.56,54.56,46.99,54.82,45.06,52.47,62.36,73.07,27.77,40.0
Statham Elementary School,Barrow County,Urban,E,-16.730000000000004,-11.950000000000003,61.5,68.59,49.55,51.86,0.0,0.0,52.5,80.0,42.87,50.02,52.69,58.98,61.12,65.98,68.46,74.06,28.18,35.22,0.0,0.0,0.0,0.0,41.46,42.69,41.99,43.62,41.13,44.36,56.12,59.1,30.72,30.72
Woodland Middle School at Euharlee,Bartow County,Urban,M,-8.54,-2.8700000000000045,65.92,62.49,63.05,53.95,0.0,0.0,0.0,0.0,50.98,53.92,55.23,51.14,62.51,53.34,68.21,65.08,29.89,29.88,0.0,0.0,0.0,0.0,47.0,40.0,52.06,45.62,54.8,50.69,66.86,56.88,29.91,25.77
Clear Creek Elementary School,Bartow County,Urban,E,-6.810000000000002,0.45000000000000284,53.05,78.31,53.5,71.5,0.0,0.0,0.0,0.0,0.0,0.0,46.49,71.81,54.76,76.19,53.22,77.9,13.64,33.34,0.0,0.0,0.0,0.0,0.0,0.0,36.03,60.5,29.63,61.11,58.96,73.35,18.34,43.34
Adairsville High School,Bartow County,Urban,H,-6.719999999999999,-5.82,65.31,57.14,59.49,50.42,0.0,0.0,0.0,0.0,45.12,34.05,52.93,43.69,64.11,46.25,67.97,60.94,23.08,23.38,0.0,0.0,0.0,0.0,21.74,0.0,44.8,45.23,61.91,45.84,64.29,53.09,12.12,26.32
Pine Log Elementary,Bartow County,Urban,E,-6.700000000000003,1.1900000000000048,60.66,76.78,61.85,70.08,0.0,0.0,0.0,0.0,0.0,0.0,54.25,68.41,0.0,0.0,61.38,77.55,16.07,30.36,0.0,0.0,0.0,0.0,0.0,0.0,51.63,60.87,0.0,0.0,62.6,71.86,15.79,31.58
Euharlee Elementary School,Bartow County,Urban,E,-13.219999999999999,-5.179999999999993,73.13,82.45,67.95,69.23,0.0,0.0,0.0,0.0,54.56,68.19,62.18,73.88,50.0,61.76,77.02,85.64,29.18,48.62,0.0,0.0,0.0,0.0,70.01,53.34,61.72,58.11,83.34,83.34,67.21,70.38,20.0,25.0
Cass High School,Bartow County,Urban,H,-23.240000000000002,-12.779999999999994,66.21,58.03,53.43,34.79,0.0,0.0,73.53,86.84,51.28,45.16,58.01,50.36,60.82,53.91,71.8,61.97,23.92,26.0,0.0,0.0,0.0,0.0,42.06,28.7,43.46,29.53,47.69,32.4,58.41,38.72,15.38,16.91
Cloverleaf Elementary,Bartow County,Urban,E,-6.8799999999999955,-3.4200000000000017,60.4,76.07,56.98,69.19,0.0,0.0,0.0,0.0,49.0,60.0,51.71,69.77,60.78,79.41,64.75,80.93,22.06,36.77,0.0,0.0,0.0,0.0,45.38,56.61,48.88,62.3,52.28,67.05,65.11,74.65,10.35,31.03
White Elementary School,Bartow County,Urban,E,-11.769999999999996,-20.549999999999997,75.21,84.64,54.66,72.87,0.0,0.0,0.0,0.0,34.85,57.58,63.17,73.99,80.9,98.54,83.13,88.27,22.87,31.44,0.0,0.0,0.0,0.0,37.93,53.46,46.56,65.17,53.75,77.5,58.34,78.47,25.81,38.72
Adairsville Elementary School,Bartow County,Urban,E,3.950000000000003,-3.8700000000000045,65.56,76.08,61.69,80.03,0.0,0.0,0.0,0.0,37.88,53.03,55.46,66.67,0.0,0.0,69.89,80.12,23.53,39.22,0.0,0.0,0.0,0.0,44.23,61.55,54.43,71.92,60.71,69.65,64.5,84.11,25.0,50.0
Mission Road Elementary School,Bartow County,Urban,E,-14.450000000000003,-22.909999999999997,75.85,85.18,52.94,70.73,0.0,0.0,0.0,0.0,59.53,69.05,65.22,73.92,63.78,82.76,81.98,89.81,35.42,52.08,0.0,0.0,0.0,0.0,52.28,63.64,44.53,63.15,43.55,58.07,55.06,75.01,23.41,37.24
Cass Middle School,Bartow County,Urban,M,-8.559999999999995,-2.9299999999999997,61.67,69.66,58.74,61.1,0.0,0.0,76.32,81.59,50.74,54.05,50.93,59.44,57.63,64.95,66.16,75.69,15.5,25.01,0.0,0.0,63.34,73.34,43.76,43.75,50.68,54.46,54.25,60.23,64.26,65.6,16.84,18.63
Allatoona Elementary School,Bartow County,Urban,E,-20.229999999999997,-12.580000000000005,55.45,63.37,42.87,43.14,0.0,0.0,0.0,0.0,0.0,0.0,51.89,60.94,54.41,66.9,56.77,61.72,17.14,31.43,0.0,0.0,0.0,0.0,0.0,0.0,42.36,45.04,40.42,49.32,48.34,41.67,22.23,16.67
Woodland High School,Bartow County,Urban,H,-29.83,16.64999999999999,75.59,60.33,92.24,30.5,0.0,0.0,84.22,100.0,72.67,56.37,64.61,52.52,71.72,54.38,81.86,67.06,31.77,26.03,0.0,0.0,0.0,0.0,91.66,32.15,75.0,25.93,67.77,23.53,92.6,22.5,30.57,26.67
Kingston Elementary School,Bartow County,Urban,E,-17.340000000000003,-20.1,61.01,54.6,40.91,37.26,0.0,0.0,0.0,0.0,53.4,57.96,55.01,51.77,54.08,54.08,66.22,52.7,27.78,20.37,0.0,0.0,0.0,0.0,33.87,24.2,40.18,38.64,40.77,42.31,43.43,37.76,16.67,16.67
Adairsville Middle School,Bartow County,Urban,M,-6.420000000000002,-7.350000000000001,65.25,66.56,57.9,60.14,0.0,0.0,0.0,0.0,51.73,48.29,53.11,54.92,63.72,60.5,66.15,68.5,22.78,28.71,0.0,0.0,0.0,0.0,31.08,36.49,47.18,50.62,47.88,52.13,59.9,62.06,16.5,23.2
Hamilton Crossing Elementary School,Bartow County,Urban,E,-11.599999999999994,-5.869999999999997,59.36,56.48,53.49,44.88,0.0,0.0,0.0,0.0,38.47,40.39,51.99,50.34,54.31,44.83,61.64,60.46,24.33,33.78,0.0,0.0,0.0,0.0,28.26,28.26,39.94,33.46,42.11,35.97,58.74,49.3,14.64,18.3
Taylorsville Elementary School,Bartow County,Urban,E,-12.369999999999997,-18.730000000000004,80.12,72.55,61.39,60.18,0.0,0.0,0.0,0.0,0.0,0.0,68.08,67.31,72.73,84.09,81.64,73.47,32.82,42.19,0.0,0.0,0.0,0.0,0.0,0.0,54.43,56.2,45.24,61.9,64.58,61.01,28.57,28.57
Emerson Elementary School,Bartow County,Urban,E,-8.209999999999994,-8.509999999999998,64.5,66.66,55.99,58.45,0.0,0.0,0.0,0.0,0.0,0.0,61.2,62.5,54.18,71.73,67.6,67.6,23.91,23.91,0.0,0.0,0.0,0.0,0.0,0.0,49.56,50.0,41.31,47.83,58.88,63.08,37.5,46.88
Ben Hill Elementary School,Ben Hill County,Rural,E,-10.940000000000005,-3.200000000000003,47.06,60.52,43.86,49.58,0.0,0.0,0.0,0.0,33.34,48.42,47.06,60.52,57.65,68.76,59.18,71.23,30.15,39.05,0.0,0.0,0.0,0.0,29.74,34.13,43.86,49.58,47.77,57.47,55.12,62.75,42.98,44.53
Ben Hill County Primary School,Ben Hill County,Rural,E,-14.559999999999995,-4.599999999999994,49.48,72.58,44.88,58.02,0.0,0.0,0.0,0.0,33.88,59.55,49.48,72.58,53.13,78.13,67.11,86.85,42.85,61.92,0.0,0.0,0.0,0.0,34.68,46.78,44.88,58.02,52.38,61.9,51.54,66.93,33.33,39.99
Fitzgerald High School,Ben Hill County,Rural,H,4.270000000000003,-2.780000000000001,58.28,33.97,55.5,38.24,0.0,0.0,0.0,0.0,42.41,25.0,58.28,33.97,66.41,39.23,69.57,41.24,18.52,5.47,0.0,0.0,0.0,0.0,36.51,25.68,55.5,38.24,55.55,55.0,72.98,46.62,16.66,16.0
Ben Hill County Middle School,Ben Hill County,Rural,M,-11.949999999999996,-6.530000000000001,48.64,48.98,42.11,37.03,0.0,0.0,0.0,0.0,35.87,36.04,48.64,48.98,59.18,58.16,59.39,60.59,25.28,24.74,0.0,0.0,0.0,0.0,29.6,25.09,42.11,37.03,52.15,46.24,50.18,45.43,29.18,20.83
Berrien High School,Berrien County,Rural,H,-2.259999999999998,-7.510000000000005,79.04,62.26,71.53,60.0,0.0,0.0,0.0,0.0,39.22,33.34,79.04,62.26,69.15,43.75,87.39,68.84,35.0,28.2,0.0,0.0,0.0,0.0,47.83,44.59,52.86,55.06,52.94,57.9,76.8,65.2,38.89,34.22
Berrien Academy Performance Learning Center,Berrien County,Rural,H,-59.8,-23.369999999999997,82.75,59.8,59.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75,59.8,0.0,0.0,83.93,61.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berrien Middle School,Berrien County,Rural,M,-1.7099999999999937,-4.1000000000000085,68.68,75.63,64.58,73.92,0.0,0.0,0.0,0.0,50.51,54.55,68.68,75.63,57.26,70.29,73.13,79.7,32.7,39.11,0.0,0.0,0.0,0.0,38.08,47.73,55.34,64.84,43.75,55.48,71.32,80.33,32.09,38.8
Berrien Elementary School,Berrien County,Rural,E,-2.5999999999999943,-5.359999999999999,72.1,81.41,66.74,78.81,0.0,0.0,0.0,0.0,53.39,62.16,72.1,81.41,56.37,68.19,76.6,85.48,36.36,50.0,0.0,0.0,0.0,0.0,40.91,50.58,66.74,78.81,55.69,62.51,71.96,85.87,42.43,53.79
Berrien Primary School,Berrien County,Rural,E,-4.429999999999993,-11.729999999999997,72.97,84.71,61.24,80.28,0.0,0.0,0.0,0.0,50.01,72.73,72.97,84.71,0.0,0.0,77.62,87.76,30.0,42.5,0.0,0.0,0.0,0.0,36.0,54.0,61.24,80.28,43.33,60.01,67.28,87.69,36.66,63.33
Skyview Elementary School,Bibb County,Urban,E,-20.699999999999996,-27.97999999999999,84.07,76.82,56.09,56.12,0.0,0.0,0.0,0.0,76.04,69.18,84.07,76.82,0.0,0.0,88.16,82.03,64.08,65.63,0.0,0.0,0.0,0.0,50.0,44.45,56.09,56.12,0.0,0.0,59.61,63.46,43.34,0.0
Burdell Elementary School,Bibb County,Urban,E,-25.75,-16.5,47.97,58.11,31.47,32.36,0.0,0.0,0.0,0.0,47.61,58.86,47.97,58.11,0.0,0.0,0.0,0.0,13.64,18.18,0.0,0.0,0.0,0.0,29.94,30.87,31.47,32.36,0.0,0.0,0.0,0.0,12.5,18.76
Howard High School,Bibb County,Urban,H,-36.3,17.960000000000008,67.69,52.1,85.65,15.8,0.0,0.0,88.24,100.0,55.33,39.43,67.69,52.1,75.01,52.38,91.55,70.46,38.47,25.81,0.0,0.0,0.0,0.0,65.56,10.63,85.65,15.8,0.0,0.0,96.66,26.0,0.0,13.05
Ballard Hudson Middle School,Bibb County,Urban,M,-6.83,-5.93,24.69,20.34,18.76,13.51,0.0,0.0,0.0,0.0,23.57,19.41,24.69,20.34,0.0,0.0,0.0,0.0,30.56,27.48,0.0,0.0,0.0,0.0,17.8,13.26,18.76,13.51,0.0,0.0,0.0,0.0,20.63,22.08
Bruce Elementary School,Bibb County,Urban,E,-30.200000000000003,-20.700000000000003,34.38,46.34,13.68,16.14,0.0,0.0,0.0,0.0,30.99,43.6,34.38,46.34,0.0,0.0,0.0,0.0,13.34,10.01,0.0,0.0,0.0,0.0,12.71,15.29,13.68,16.14,0.0,0.0,0.0,0.0,0.0,0.0
Academy For Classical Education,Bibb County,Urban,E,-4.359999999999999,-4.319999999999993,93.52,86.2,89.2,81.84,0.0,0.0,100.0,100.0,82.0,69.0,93.52,86.2,75.01,87.5,93.48,87.14,47.07,44.11,0.0,0.0,97.3,99.99,74.17,61.67,0.0,0.0,83.34,66.67,90.87,84.22,37.5,65.63
Central High School,Bibb County,Urban,H,-5.299999999999997,-24.540000000000006,81.65,62.64,57.11,57.34,0.0,0.0,0.0,0.0,56.25,48.04,67.61,50.97,69.23,52.9,87.48,66.67,44.84,22.26,0.0,0.0,0.0,0.0,33.34,44.0,47.0,45.88,37.04,44.29,64.37,62.22,27.78,29.17
